Job,Failed Machine,Replacement Suggested,Job,Reassigned To
J003,M04,M03,J003,M03
J025,M04,M03,J025,M03
J027,M03,M05,J027,M05
J039,M02,M03,J039,M03
J051,M04,M03,J051,M03
J061,M02,M03,J061,M03
J063,M02,M03,J063,M03
J065,M03,M05,J065,M05
J070,M04,M03,J070,M03
J076,M01,M03,J076,M03
J092,M03,M05,J092,M05
J099,M05,M03,J099,M03
J107,M04,M03,J107,M03
J118,M02,M03,J118,M03
J134,M03,M05,J134,M05
J146,M01,M03,J146,M03
J149,M05,M03,J149,M03
J151,M02,M03,J151,M03
J156,M04,M03,J156,M03
J166,M04,M03,J166,M03
J172,M02,M03,J172,M03
J175,M04,M03,J175,M03
J182,M01,M03,J182,M03
J187,M04,M03,J187,M03
J201,M04,M03,J201,M03
J202,M02,M03,J202,M03
J205,M04,M03,J205,M03
J213,M03,M05,J213,M05
J222,M03,M05,J222,M05
J223,M01,M03,J223,M03
J231,M02,M03,J231,M03
J239,M03,M05,J239,M05
J240,M02,M03,J240,M03
J260,M04,M03,J260,M03
J262,M05,M03,J262,M03
J276,M02,M03,J276,M03
J296,M03,M05,J296,M05
J311,M02,M03,J311,M03
J312,M04,M03,J312,M03
J313,M05,M03,J313,M03
J325,M03,M05,J325,M05
J334,M04,M03,J334,M03
J341,M03,M05,J341,M05
J342,M04,M03,J342,M03
J345,M05,M03,J345,M03
J358,M01,M03,J358,M03
J370,M04,M03,J370,M03
J375,M05,M03,J375,M03
J378,M01,M03,J378,M03
J397,M05,M03,J397,M03
J401,M04,M03,J401,M03
J417,M01,M03,J417,M03
J424,M01,M03,J424,M03
J441,M04,M03,J441,M03
J446,M03,M05,J446,M05
J465,M01,M03,J465,M03
J496,M04,M03,J496,M03
J500,M03,M05,J500,M05
J510,M01,M03,J510,M03
J513,M03,M05,J513,M05
J514,M01,M03,J514,M03
J516,M01,M03,J516,M03
J520,M04,M03,J520,M03
J528,M03,M05,J528,M05
J529,M04,M03,J529,M03
J556,M05,M03,J556,M03
J571,M03,M05,J571,M05
J573,M03,M05,J573,M05
J584,M05,M03,J584,M03
J585,M05,M03,J585,M03
J588,M04,M03,J588,M03
J591,M05,M03,J591,M03
J592,M01,M03,J592,M03
J607,M03,M05,J607,M05
J608,M03,M05,J608,M05
J609,M03,M05,J609,M05
J610,M01,M03,J610,M03
J611,M01,M03,J611,M03
J612,M03,M05,J612,M05
J616,M01,M03,J616,M03
J635,M04,M03,J635,M03
J637,M04,M03,J637,M03
J646,M02,M03,J646,M03
J675,M03,M05,J675,M05
J687,M02,M03,J687,M03
J699,M03,M05,J699,M05
J701,M02,M03,J701,M03
J705,M03,M05,J705,M05
J709,M04,M03,J709,M03
J713,M05,M03,J713,M03
J717,M02,M03,J717,M03
J723,M04,M03,J723,M03
J726,M05,M03,J726,M03
J738,M01,M03,J738,M03
J741,M01,M03,J741,M03
J743,M04,M03,J743,M03
J753,M01,M03,J753,M03
J763,M05,M03,J763,M03
J765,M03,M05,J765,M05
J773,M05,M03,J773,M03
J788,M04,M03,J788,M03
J789,M02,M03,J789,M03
J796,M01,M03,J796,M03
J803,M02,M03,J803,M03
J815,M04,M03,J815,M03
J825,M02,M03,J825,M03
J829,M03,M05,J829,M05
J837,M05,M03,J837,M03
J847,M04,M03,J847,M03
J850,M05,M03,J850,M03
J851,M02,M03,J851,M03
J856,M04,M03,J856,M03
J861,M03,M05,J861,M05
J879,M05,M03,J879,M03
J880,M02,M03,J880,M03
J889,M03,M05,J889,M05
J904,M05,M03,J904,M03
J912,M04,M03,J912,M03
J918,M04,M03,J918,M03
J929,M01,M03,J929,M03
J932,M01,M03,J932,M03
J943,M04,M03,J943,M03
J955,M04,M03,J955,M03
J976,M05,M03,J976,M03
J977,M01,M03,J977,M03
J980,M03,M05,J980,M05
J995,M03,M05,J995,M05
J996,M02,M03,J996,M03
J997,M05,M03,J997,M03
